"date","source","title","value"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","compteur moyen (h) secteur public","95"
"Nov 17, 2020 12:01 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","profils activés","12850000"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","usagers ayant validé les CGU","7300000"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","certifications","5211"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","sessions","933480"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","sessions à distance","274535"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","prix moyen catalogue","2119"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","dépenses","1180000000"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","demandes d'abondements validées par Pôle emploi","18973"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","abondements Pôle Emploi","32000000"
"Jun 30, 2020 11:00 pm","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","demandes d'abondements validées par Pôle emploi","0"
"Jun 30, 2020 11:00 pm","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","abondements Pôle Emploi","0"
"Nov 17, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","employeurs ayant initiés des dotations","1070"
"Sep 2, 2020 11:00 pm","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","employeurs ayant initiés des dotations","0"
"Sep 2, 2020 11:00 pm","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","abondements employeurs","0"
"Nov 7, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/201117_Chiffres-MCF_ecran.pdf","abondements employeurs","5600000"
"Nov 27, 2019 12:00 am","https://www.of.moncompteformation.gouv.fr/espace-public/actualite/la-neutralite-du-moteur-de-recherche-sameliore","certifications","1500"
"Dec 31, 202 12:50 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","titulaires d’un compte CPF alimenté","38020000"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","compteur moyen (€) secteur privé","1280"
